,Event_name,Event_description,Event_date,Event_time,Event_link
0,Read Southall Band,Read Southall Band performing with Midnight River Choir,"Wed, Sep 8, 2021",8:00 PM,https://terminalwestatl.com/events/detail?event_id=403712
1,Town Mountain,Town Mountain performing with Smith & Calvert,"Thu, Sep 9, 2021",8:00 PM,https://terminalwestatl.com/events/detail?event_id=404647
2,Marvel Years & Maddy O'Neal,"Marvel Years & Maddy O'Neal performing with Pure Colors, Vincent Antone, Dollarsine","Fri, Sep 10, 2021",9:00 PM,https://terminalwestatl.com/events/detail?event_id=409540
3,Mark Farina,Mark Farina performing with Caleb Wheels,"Sat, Sep 11, 2021",9:30 PM,https://terminalwestatl.com/events/detail?event_id=407038
4,Emily King,n/a,"Mon, Sep 13, 2021",8:00 PM,https://terminalwestatl.com/events/detail?event_id=408653
