_id,event_date,event_description,event_link,event_name,event_time
61398039e7480d5b149422cc,09/8/21,"Check out our unique, personalized shopping and dining experience based on the 12 astrological signs and four corresponding element throughout September.
",https://atlanticstation.com/event/elements-of-style/,Elements of Style,12:00
61398039e7480d5b149422cd,09/9/21,"On Wednesdays, Thursdays and Fridays, Black Bean Coffee Co. will sell caffeinated beverages on West District Avenue at Atlantic Station.
",https://atlanticstation.com/event/black-bean-coffee-co-pop-up/2021-09-09/,Black Bean Coffee Co. Pop-Up,8:00
61398039e7480d5b149422ce,09/10/21,"On Wednesdays, Thursdays and Fridays, Black Bean Coffee Co. will sell caffeinated beverages on West District Avenue at Atlantic Station.
",https://atlanticstation.com/event/black-bean-coffee-co-pop-up/2021-09-10/,Black Bean Coffee Co. Pop-Up,8:00
61398039e7480d5b149422cf,09/10/21,"Celebrate the start of the 2021 football season at this free event featuring famous special guests, giveaways and more!
",https://atlanticstation.com/event/dirty-birds-rally-presented-by-truist/,Dirty Birds Rally presented by Truist,7:00
61398039e7480d5b149422d0,09/11/21,"Shop local and celebrate Atlanta’s unstoppable creativity. 
",https://atlanticstation.com/event/makers-market/2021-09-11/,Maker’s Market,11:00
61398039e7480d5b149422d1,09/12/21,"Enjoy a zen Sunday Funday with atl kula and Atlantic Station.
",https://atlanticstation.com/event/meditation-and-mimosas/2021-09-12/,Meditation and Mimosas,10:30
61398039e7480d5b149422d2,09/14/21,"Tot Spot returns to Atlantic Station with storytime, sing-alongs, kids yoga, pre-packaged snacks and more! 
",https://atlanticstation.com/event/tot-spot/2021-09-14/,Tot Spot,10:00
61398039e7480d5b149422d3,09/15/21,"Join Atlantic Station and atl kula for free outdoor and socially-distanced wellness classes. Register at atlkula.com/classes.
",https://atlanticstation.com/event/wellness-wednesdays/2021-09-15/,Wellness Wednesdays,6:30
61398039e7480d5b149422d4,09/16/21,"On Wednesdays, Thursdays and Fridays, Black Bean Coffee Co. will sell caffeinated beverages on West District Avenue at Atlantic Station.
",https://atlanticstation.com/event/black-bean-coffee-co-pop-up/2021-09-16/,Black Bean Coffee Co. Pop-Up,8:00
